"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes","n_rows","scale_type","record"
"Baron, Etienne; Richirt, Julien; Villoutreix, Romain; Amsellem, Laurent; Roux, Fabrice","The genetics of intra- and interspecific competitive response and effect in a local population of an annual plant species","10.1111/1365-2435.12436","FUNCTIONAL ECOLOGY",NA,"Europe","local",NA,NA,"exp","",78,"ecological_scale",NA
"Novotny, V; Basset, Y; Miller, SE; Kitching, RL; Laidlaw, M; Drozd, P; Cizek, L","Local species richness of leaf-chewing insects feeding on woody plants from one hectare of a lowland rainforest","10.1111/j.1523-1739.2004.00293.x","CONSERVATION BIOLOGY","forest","Oceania","local",10000,NA,"obs","",78,"ecological_scale","m2"
"Valone, TJ; Hoffman, CD","Effects of regional pool size on local diversity in small-scale annual plant communities","10.1046/j.1461-0248.2002.00344.x","ECOLOGY LETTERS","shrubland","North America","local",0.25,NA,"exp","",78,"ecological_scale","m2"
"Valone, TJ; Hoffman, CD","Effects of regional pool size on local diversity in small-scale annual plant communities","10.1046/j.1461-0248.2002.00344.x","ECOLOGY LETTERS","shrubland","North America","regional",50000,NA,"exp","",62,"ecological_scale","m2"
"Valone, TJ; Hoffman, CD","Effects of regional pool size on local diversity in small-scale annual plant communities","10.1046/j.1461-0248.2002.00344.x","ECOLOGY LETTERS","shrubland","North America","plot",2500,NA,"exp","",390,"method_scale","m2"
"Myers, Jonathan A.; Harms, Kyle E.","Local immigration, competition from dominant guilds, and the ecological assembly of high-diversity pine savannas","10.1890/08-1953.1","ECOLOGY","grassland","North America","local",1,NA,"exp","",78,"ecological_scale","m2"
"Myers, Jonathan A.; Harms, Kyle E.","Local immigration, competition from dominant guilds, and the ecological assembly of high-diversity pine savannas","10.1890/08-1953.1","ECOLOGY","grassland","North America","plot",0.25,NA,"exp","",390,"method_scale","m2"
"Myers, Jonathan A.; Harms, Kyle E.","Local immigration, competition from dominant guilds, and the ecological assembly of high-diversity pine savannas","10.1890/08-1953.1","ECOLOGY","grassland","North America","neighbourhood",0.01,NA,"exp","",29,"ecological_scale","m2"
"Tofts, R; Silvertown, J","Community assembly from the local species pool: an experimental study using congeneric species pairs","10.1046/j.1365-2745.2001.00673.x","JOURNAL OF ECOLOGY","grassland","Europe","local",2.5e+09,NA,"exp","",78,"ecological_scale","m2"
"Kessler, Michael; Salazar, Laura; Homeier, Juergen; Kluge, Juergen","Species richness-productivity relationships of tropical terrestrial ferns at regional and local scales","10.1111/1365-2745.12299","JOURNAL OF ECOLOGY","forest","South America","local",NA,NA,"obs","",78,"ecological_scale",NA
"Kessler, Michael; Salazar, Laura; Homeier, Juergen; Kluge, Juergen","Species richness-productivity relationships of tropical terrestrial ferns at regional and local scales","10.1111/1365-2745.12299","JOURNAL OF ECOLOGY","forest","South America","regional",NA,NA,"obs","",62,"ecological_scale",NA
"Kessler, Michael; Salazar, Laura; Homeier, Juergen; Kluge, Juergen","Species richness-productivity relationships of tropical terrestrial ferns at regional and local scales","10.1111/1365-2745.12299","JOURNAL OF ECOLOGY","forest","South America","plot",400,NA,"obs","",390,"method_scale","m2"
"Lee, Myung-Bok; Carroll, John P.","Relative importance of local and landscape variables on site occupancy by avian species in a pine forest, urban, and agriculture matrix","10.1016/j.foreco.2014.03.017","FOREST ECOLOGY AND MANAGEMENT","forest","North America","local",78.54,NA,"obs","",78,"ecological_scale","m2"
"Lee, Myung-Bok; Carroll, John P.","Relative importance of local and landscape variables on site occupancy by avian species in a pine forest, urban, and agriculture matrix","10.1016/j.foreco.2014.03.017","FOREST ECOLOGY AND MANAGEMENT","forest","North America","landscape",785398,NA,"obs","",84,"ecological_scale","m2"
"Lee, Myung-Bok; Carroll, John P.","Relative importance of local and landscape variables on site occupancy by avian species in a pine forest, urban, and agriculture matrix","10.1016/j.foreco.2014.03.017","FOREST ECOLOGY AND MANAGEMENT","forest","North America","landscape",3141593,NA,"obs","",84,"ecological_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","local",10,NA,"exp","",78,"ecological_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","regional",120000,NA,"exp","",62,"ecological_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","regional",1360000,NA,"exp","",62,"ecological_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","landscape",3.6e+07,NA,"exp","",84,"ecological_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","quadrat",1,NA,"exp","",169,"method_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","quadrat",10,NA,"exp","",169,"method_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","transect",NA,0.05,"exp","",38,"method_scale","km"
"Reitalu, Triin; Purschke, Oliver; Johansson, Lotten J.; Hall, Karin; Sykes, Martin T.; Prentice, Honor C.","Responses of grassland species richness to local and landscape factors depend on spatial scale and habitat specialization","10.1111/j.1654-1103.2011.01334.x","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","local",NA,NA,"obs","",78,"ecological_scale",NA
"Reitalu, Triin; Purschke, Oliver; Johansson, Lotten J.; Hall, Karin; Sykes, Martin T.; Prentice, Honor C.","Responses of grassland species richness to local and landscape factors depend on spatial scale and habitat specialization","10.1111/j.1654-1103.2011.01334.x","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","landscape",282743,NA,"obs","",84,"ecological_scale","m2"
"Reitalu, Triin; Purschke, Oliver; Johansson, Lotten J.; Hall, Karin; Sykes, Martin T.; Prentice, Honor C.","Responses of grassland species richness to local and landscape factors depend on spatial scale and habitat specialization","10.1111/j.1654-1103.2011.01334.x","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",0.25,NA,"obs","",390,"method_scale","m2"
"Yang, Hao; Auerswald, Karl; Bai, Yongfei; Wittmer, Maximilian H. O. M.; Schnyder, Hans","Variation in carbon isotope discrimination in Cleistogenes squarrosa (Trin.) Keng: patterns and drivers at tiller, local, catchment, and regional scales","10.1093/jxb/err102","JOURNAL OF EXPERIMENTAL BOTANY","grassland","Asia","local",NA,NA,"obs","",78,"ecological_scale",NA
"Yang, Hao; Auerswald, Karl; Bai, Yongfei; Wittmer, Maximilian H. O. M.; Schnyder, Hans","Variation in carbon isotope discrimination in Cleistogenes squarrosa (Trin.) Keng: patterns and drivers at tiller, local, catchment, and regional scales","10.1093/jxb/err102","JOURNAL OF EXPERIMENTAL BOTANY","grassland","Asia","regional",2e+05,NA,"obs","",62,"ecological_scale","m2"
"Zuleta, Daniel; Benavides, Ana M.; Lopez-Rios, Victor; Duque, Alvaro","Local and regional determinants of vascular epiphyte mortality in the Andean mountains of Colombia","10.1111/1365-2745.12563","JOURNAL OF ECOLOGY","forest","South America","local",10000,NA,"obs","",78,"ecological_scale","m2"
"Zuleta, Daniel; Benavides, Ana M.; Lopez-Rios, Victor; Duque, Alvaro","Local and regional determinants of vascular epiphyte mortality in the Andean mountains of Colombia","10.1111/1365-2745.12563","JOURNAL OF ECOLOGY","forest","South America","regional",1e+06,NA,"obs","",62,"ecological_scale","m2"
"Zuleta, Daniel; Benavides, Ana M.; Lopez-Rios, Victor; Duque, Alvaro","Local and regional determinants of vascular epiphyte mortality in the Andean mountains of Colombia","10.1111/1365-2745.12563","JOURNAL OF ECOLOGY","forest","South America","subplot",1600,NA,"obs","",16,"ecological_scale","m2"
"Bernard-Verdier, Maud; Hulme, Philip E.","Alien plants can be associated with a decrease in local and regional native richness even when at low abundance","10.1111/1365-2745.13124","JOURNAL OF ECOLOGY","grassland","Oceania","landscape",1e+09,NA,"obs","",84,"ecological_scale","m2"
