"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes"
"Escobedo, Victor M.; Rios, Rodrigo S.; Gianoli, Ernesto","Interactive effects of shading and disturbance on plant invasion in an arid shrubland: Assembly processes and CSR-strategies","10.1111/1365-2745.13650","JOURNAL OF ECOLOGY","shrubland","South America","plot",0.36,NA,"obs",""
"Escobedo, Victor M.; Rios, Rodrigo S.; Gianoli, Ernesto","Interactive effects of shading and disturbance on plant invasion in an arid shrubland: Assembly processes and CSR-strategies","10.1111/1365-2745.13650","JOURNAL OF ECOLOGY","shrubland","South America","plot",100,NA,"obs",""
"Dullinger, S; Dirnbock, T; Greimler, J; Grabherr, G","A resampling approach for evaluating effects of pasture abandonment on subalpine plant species diversity","10.1111/j.1654-1103.2003.tb02149.x","JOURNAL OF VEGETATION SCIENCE","shrubland","Europe","plot",150,NA,"obs",""
"Benayas, JMR; Scheiner, SM","Plant diversity, biogeography and environment in Iberia: Patterns and possible causal factors","10.1111/j.1654-1103.2002.tb02045.x","JOURNAL OF VEGETATION SCIENCE","shrubland","Europe","plot",20,NA,"obs",""
"Benayas, JMR; Scheiner, SM","Plant diversity, biogeography and environment in Iberia: Patterns and possible causal factors","10.1111/j.1654-1103.2002.tb02045.x","JOURNAL OF VEGETATION SCIENCE","shrubland","Europe","plot",200,NA,"obs",""
"Schoeb, Christian; Callaway, Ragan M.; Anthelme, Fabien; Brooker, Rob W.; Cavieres, Lohengrin A.; Kikvidze, Zaal; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Xiao, Sa; Cranston, Brittany H.; Garcia, Mary-Carolina; Hupp, Nicole R.; Llambi, Luis D.; Lingua, Emanuele; Reid, Anya M.; Zhao, Liang; Butterfield, Bradley J.","The context dependence of beneficiary feedback effects on benefactors in plant facilitation","10.1111/nph.12908","NEW PHYTOLOGIST","shrubland","South America","plot",0.0672,NA,"obs",""
"Schoeb, Christian; Callaway, Ragan M.; Anthelme, Fabien; Brooker, Rob W.; Cavieres, Lohengrin A.; Kikvidze, Zaal; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Xiao, Sa; Cranston, Brittany H.; Garcia, Mary-Carolina; Hupp, Nicole R.; Llambi, Luis D.; Lingua, Emanuele; Reid, Anya M.; Zhao, Liang; Butterfield, Bradley J.","The context dependence of beneficiary feedback effects on benefactors in plant facilitation","10.1111/nph.12908","NEW PHYTOLOGIST","shrubland","Europe","plot",0.0672,NA,"obs",""
"Schoeb, Christian; Callaway, Ragan M.; Anthelme, Fabien; Brooker, Rob W.; Cavieres, Lohengrin A.; Kikvidze, Zaal; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Xiao, Sa; Cranston, Brittany H.; Garcia, Mary-Carolina; Hupp, Nicole R.; Llambi, Luis D.; Lingua, Emanuele; Reid, Anya M.; Zhao, Liang; Butterfield, Bradley J.","The context dependence of beneficiary feedback effects on benefactors in plant facilitation","10.1111/nph.12908","NEW PHYTOLOGIST","shrubland","Asia","plot",0.0672,NA,"obs",""
"Schoeb, Christian; Callaway, Ragan M.; Anthelme, Fabien; Brooker, Rob W.; Cavieres, Lohengrin A.; Kikvidze, Zaal; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Xiao, Sa; Cranston, Brittany H.; Garcia, Mary-Carolina; Hupp, Nicole R.; Llambi, Luis D.; Lingua, Emanuele; Reid, Anya M.; Zhao, Liang; Butterfield, Bradley J.","The context dependence of beneficiary feedback effects on benefactors in plant facilitation","10.1111/nph.12908","NEW PHYTOLOGIST","shrubland","Europe","plot",0.1782,NA,"obs",""
"Schoeb, Christian; Callaway, Ragan M.; Anthelme, Fabien; Brooker, Rob W.; Cavieres, Lohengrin A.; Kikvidze, Zaal; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Xiao, Sa; Cranston, Brittany H.; Garcia, Mary-Carolina; Hupp, Nicole R.; Llambi, Luis D.; Lingua, Emanuele; Reid, Anya M.; Zhao, Liang; Butterfield, Bradley J.","The context dependence of beneficiary feedback effects on benefactors in plant facilitation","10.1111/nph.12908","NEW PHYTOLOGIST","shrubland","North America","plot",0.1782,NA,"obs",""
"Schoeb, Christian; Callaway, Ragan M.; Anthelme, Fabien; Brooker, Rob W.; Cavieres, Lohengrin A.; Kikvidze, Zaal; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Xiao, Sa; Cranston, Brittany H.; Garcia, Mary-Carolina; Hupp, Nicole R.; Llambi, Luis D.; Lingua, Emanuele; Reid, Anya M.; Zhao, Liang; Butterfield, Bradley J.","The context dependence of beneficiary feedback effects on benefactors in plant facilitation","10.1111/nph.12908","NEW PHYTOLOGIST","shrubland","South America","plot",0.1782,NA,"obs",""
"Schoeb, Christian; Callaway, Ragan M.; Anthelme, Fabien; Brooker, Rob W.; Cavieres, Lohengrin A.; Kikvidze, Zaal; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Xiao, Sa; Cranston, Brittany H.; Garcia, Mary-Carolina; Hupp, Nicole R.; Llambi, Luis D.; Lingua, Emanuele; Reid, Anya M.; Zhao, Liang; Butterfield, Bradley J.","The context dependence of beneficiary feedback effects on benefactors in plant facilitation","10.1111/nph.12908","NEW PHYTOLOGIST","shrubland","Asia","plot",0.1782,NA,"obs",""
"Burger, JC; Redak, RA; Allen, EB; Rotenberry, JT; Allen, MF","Restoring arthropod communities in coastal sage scrub","10.1046/j.1523-1739.2003.01325.x","CONSERVATION BIOLOGY","shrubland","North America","plot",126,NA,"exp",""
"Burger, JC; Redak, RA; Allen, EB; Rotenberry, JT; Allen, MF","Restoring arthropod communities in coastal sage scrub","10.1046/j.1523-1739.2003.01325.x","CONSERVATION BIOLOGY","shrubland","North America","plot",121,NA,"exp",""
"Schutzenhofer, Michele R.; Valone, Thomas J.","Positive and negative effects of exotic Erodium cicutarium on an arid ecosystem","10.1016/j.biocon.2006.04.031","BIOLOGICAL CONSERVATION","shrubland","North America","plot",2500,NA,"exp",""
"Grigulis, K; Lavorel, S; Davies, ID; Dossantos, A; Lloret, F; Vila, M","Landscape-scale positive feedbacks between fire and expansion of the large tussock grass, Ampelodesmos mauritanica in Catalan shrublands","10.1111/j.1365-2486.2005.00980.x","GLOBAL CHANGE BIOLOGY","shrubland","Europe","plot",36,NA,"obs",""
"Street, L. E.; Shaver, G. R.; Williams, M.; Van Wijk, M. T.","What is the relationship between changes in canopy leaf area and changes in photosynthetic CO2 flux in arctic ecosystems?","10.1111/j.1365-2745.2006.01187.x","JOURNAL OF ECOLOGY","shrubland","Europe","plot",1,NA,"obs",""
"Street, L. E.; Shaver, G. R.; Williams, M.; Van Wijk, M. T.","What is the relationship between changes in canopy leaf area and changes in photosynthetic CO2 flux in arctic ecosystems?","10.1111/j.1365-2745.2006.01187.x","JOURNAL OF ECOLOGY","shrubland","North America","plot",1,NA,"obs",""
"Sorensen, Pernille Laerkedal; Michelsen, Anders","Long-term warming and litter addition affects nitrogen fixation in a subarctic heath","10.1111/j.1365-2486.2010.02234.x","GLOBAL CHANGE BIOLOGY","shrubland","Europe","plot",1.44,NA,"exp",""
"Gavini, Sabrina S.; Ezcurra, Cecilia; Aizen, Marcelo A.","Patch-level facilitation fosters high-Andean plant diversity at regional scales","10.1111/jvs.12922","JOURNAL OF VEGETATION SCIENCE","shrubland","South America","plot",NA,NA,"obs","not specified! ('the size of the cushion plant')"
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","shrubland","North America","plot",1000,NA,"obs",""
"Escudero, A; Romao, RL; de la Cruz, M; Maestre, FT","Spatial pattern and neighbour effects on Helianthemum squamatum seedlings in a Mediterranean gypsum community","10.1111/j.1654-1103.2005.tb02377.x","JOURNAL OF VEGETATION SCIENCE","shrubland","Europe","plot",42,NA,"obs",""
"Nobis, Agnieszka; Zmihorski, Michal; Kotowska, Dorota","Linking the diversity of native flora to land cover heterogeneity and plant invasions in a river valley","10.1016/j.biocon.2016.08.032","BIOLOGICAL CONSERVATION","shrubland","Europe","plot",1e+06,NA,"obs",""
"Nobis, Agnieszka; Zmihorski, Michal; Kotowska, Dorota","Linking the diversity of native flora to land cover heterogeneity and plant invasions in a river valley","10.1016/j.biocon.2016.08.032","BIOLOGICAL CONSERVATION","shrubland","Europe","plot",1e+06,NA,"obs",""
"McNickle, Gordon G.; Lamb, Eric G.; Lavender, Mike; Cahill, James F., Jr.; Schamp, Brandon S.; Siciliano, Steven D.; Condit, Richard; Hubbell, Stephen P.; Baltzer, Jennifer L.","Checkerboard score-area relationships reveal spatial scales of plant community structure","10.1111/oik.04620","OIKOS","desert and tundra","North America","quadrat",0.01,NA,"obs",""
"McNickle, Gordon G.; Lamb, Eric G.; Lavender, Mike; Cahill, James F., Jr.; Schamp, Brandon S.; Siciliano, Steven D.; Condit, Richard; Hubbell, Stephen P.; Baltzer, Jennifer L.","Checkerboard score-area relationships reveal spatial scales of plant community structure","10.1111/oik.04620","OIKOS","desert and tundra","North America","quadrat",0.81,NA,"obs",""
"Quested, HM; Cornelissen, JHC; Press, MC; Callaghan, TV; Aerts, R; Trosien, F; Riemann, P; Gwynn-Jones, D; Kondratchuk, A; Jonasson, SE","Decomposition of sub-arctic plants with differing nitrogen economies: A functional role for hemiparasites","10.1890/02-0426","ECOLOGY","desert and tundra","Europe","quadrat",NA,NA,"exp",""
"Virtanen, Risto; Oksanen, Jari; Oksanen, Lauri; Razzhivin, Vladimir Yu","Broad-scale vegetation-environment relationships in Eurasian high-latitude areas","10.1111/j.1654-1103.2006.tb02473.x","JOURNAL OF VEGETATION SCIENCE","desert and tundra","Europe","quadrat",0.64,NA,"obs",""
"Epstein, HE; Calef, MP; Walker, MD; Chapin, FS; Starfield, AM","Detecting changes in arctic tundra plant communities in response to warming over decadal time scales","10.1111/j.1529-8817.2003.00810.x","GLOBAL CHANGE BIOLOGY","desert and tundra","North America","quadrat",0.04,NA,"sim",""
"Elliott, Tammy L.; Davies, T. Jonathan","A comparison of phylogenetic and species beta diversity measures describing vegetation assemblages along an elevation gradient","10.1111/jvs.12700","JOURNAL OF VEGETATION SCIENCE","desert and tundra","North America","quadrat",1,NA,"obs",""
"Despland, E","Fractal index captures the role of vegetation clumping in locust swarming","10.1046/j.1365-2435.2003.00728.x","FUNCTIONAL ECOLOGY","desert and tundra","Africa","quadrat",1.97e+11,NA,"obs",""
"Jabis, Meredith D.; Winkler, Daniel E.; Kueppers, Lara M.","Warming acts through earlier snowmelt to advance but not extend alpine community flowering","10.1002/ecy.3108","ECOLOGY","desert and tundra","North America","quadrat",1,NA,"exp",""
"McNickle, Gordon G.; Lamb, Eric G.; Lavender, Mike; Cahill, James F., Jr.; Schamp, Brandon S.; Siciliano, Steven D.; Condit, Richard; Hubbell, Stephen P.; Baltzer, Jennifer L.","Checkerboard score-area relationships reveal spatial scales of plant community structure","10.1111/oik.04620","OIKOS","forest","North America","quadrat",25,NA,"obs",""
"McNickle, Gordon G.; Lamb, Eric G.; Lavender, Mike; Cahill, James F., Jr.; Schamp, Brandon S.; Siciliano, Steven D.; Condit, Richard; Hubbell, Stephen P.; Baltzer, Jennifer L.","Checkerboard score-area relationships reveal spatial scales of plant community structure","10.1111/oik.04620","OIKOS","forest","North America","quadrat",10000,NA,"obs",""
"Roe, Cailin M.; Parker, Graham C.; Korsten, Annika C.; Lister, Christina J.; Weatherall, Sam B.; Lawrence Lodge, Rachael H. E.; Wilson, J. Bastow","Small-scale spatial autocorrelation in plant communities: the effects of spatial grain and measure of abundance, with an improved sampling scheme","10.1111/j.1654-1103.2011.01375.x","JOURNAL OF VEGETATION SCIENCE","forest","Oceania","quadrat",25,NA,"obs",""
"Norghauer, Julian M.; Newbery, David M.","Recruitment limitation after mast-seeding in two African rain forest trees","10.1890/09-0071.1","ECOLOGY","forest","Africa","quadrat",0.49,NA,"exp",""
"Hernandez-Hernandez, Raquel; Borges, Paulo A. V.; Gabriel, Rosalina; Rigal, Francois; Ah-Peng, Claudine; Maria Gonzalez-Mancebo, Juana","Scaling alpha- and beta-diversity: bryophytes along an elevational gradient on a subtropical oceanic Island (La Palma, Canary Islands)","10.1111/jvs.12573","JOURNAL OF VEGETATION SCIENCE","forest","Europe","quadrat",4,NA,"obs",""
"Kobe, Richard K.; Vriesendorp, Corine F.","Conspecific density dependence in seedlings varies with species shade tolerance in a wet tropical forest","10.1111/j.1461-0248.2011.01612.x","ECOLOGY LETTERS","forest","Central America","quadrat",1,NA,"obs",""
"Elliott, Tammy L.; Davies, T. Jonathan","A comparison of phylogenetic and species beta diversity measures describing vegetation assemblages along an elevation gradient","10.1111/jvs.12700","JOURNAL OF VEGETATION SCIENCE","forest","North America","quadrat",1,NA,"obs",""
"Elliott, Tammy L.; Davies, T. Jonathan","A comparison of phylogenetic and species beta diversity measures describing vegetation assemblages along an elevation gradient","10.1111/jvs.12700","JOURNAL OF VEGETATION SCIENCE","forest","North America","quadrat",1,NA,"obs",""
"Widenfalk, Olof; Weslien, Jan","Plant species richness in managed boreal forests-Effects of stand succession and thinning","10.1016/j.foreco.2008.12.010","FOREST ECOLOGY AND MANAGEMENT","forest","Europe","quadrat",1440000,NA,"obs",""
"Widenfalk, Olof; Weslien, Jan","Plant species richness in managed boreal forests-Effects of stand succession and thinning","10.1016/j.foreco.2008.12.010","FOREST ECOLOGY AND MANAGEMENT","forest","Europe","quadrat",1e+06,NA,"obs",""
"Kelly, Jay F.","Regional changes to forest understories since the mid-Twentieth Century: Effects of overabundant deer and other factors in northern New Jersey","10.1016/j.foreco.2019.04.050","FOREST ECOLOGY AND MANAGEMENT","forest","North America","quadrat",100,NA,"exp",""
"Furlaud, James M.; Prior, Lynda D.; Williamson, Grant J.; Bowman, David M. J. S.","Bioclimatic drivers of fire severity across the Australian geographical range of giant Eucalyptus forests","10.1111/1365-2745.13663","JOURNAL OF ECOLOGY","forest","Oceania","quadrat",1,NA,"sim",""
"Zhao, Ning; Liu, Huiming; Wang, Qiufeng; Wang, Ruili; Xu, Zhiwei; Jiao, Cuicui; Zhu, Jianxing; Yu, Guirui; He, Nianpeng","Root elemental composition in Chinese forests: Implications for biogeochemical niche differentiation","10.1111/1365-2435.12938","FUNCTIONAL ECOLOGY","forest","Asia","quadrat",1200,NA,"obs",""
"Manuel Herrera, Jose; Garcia, Daniel","Effects of Forest Fragmentation on Seed Dispersal and Seedling Establishment in Ornithochorous Trees","10.1111/j.1523-1739.2010.01459.x","CONSERVATION BIOLOGY","forest","Europe","quadrat",0.25,NA,"obs",""
"Albert, Sebastien; Flores, Olivier; Rouget, Mathieu; Wilding, Nicholas; Strasberg, Dominique","Why are woody plants fleshy-fruited at low elevations? Evidence from a high-elevation oceanic island","10.1111/jvs.12676","JOURNAL OF VEGETATION SCIENCE","forest","Africa","quadrat",2500,NA,"obs",""
"Akashi, Nobuhiro","Responses of understory vascular plant communities up to 6 years after retention harvesting in planted Abies sachalinensis forests","10.1016/j.foreco.2023.120991","FOREST ECOLOGY AND MANAGEMENT","forest","Asia","quadrat",25,NA,"exp",""
"Kassi, N'Dja Justin K.; Decocq, Guillaume","Successional patterns of plant species and community diversity in a semi-deciduous tropical forest under shifting cultivation","10.3170/2008-8-18453","JOURNAL OF VEGETATION SCIENCE","forest","Africa","quadrat",1500,NA,"obs",""
"Kassi, N'Dja Justin K.; Decocq, Guillaume","Successional patterns of plant species and community diversity in a semi-deciduous tropical forest under shifting cultivation","10.3170/2008-8-18453","JOURNAL OF VEGETATION SCIENCE","forest","Africa","quadrat",1000,NA,"obs",""
"Kassi, N'Dja Justin K.; Decocq, Guillaume","Successional patterns of plant species and community diversity in a semi-deciduous tropical forest under shifting cultivation","10.3170/2008-8-18453","JOURNAL OF VEGETATION SCIENCE","forest","Africa","quadrat",400,NA,"obs",""
"Dalling, James W.; Schnitzer, Stefan A.; Baldeck, Claire; Harms, Kyle E.; John, Robert; Mangan, Scott A.; Lobo, Elena; Yavitt, Joseph B.; Hubbell, Stephen P.","Resource-based habitat associations in a neotropical liana community","10.1111/j.1365-2745.2012.01989.x","JOURNAL OF ECOLOGY","forest","South America","quadrat",400,NA,"obs","BCI plot"
"Burgar, Joanna M.; Stokes, Vicki L.; Craig, Michael D.","Habitat features act as unidirectional and dynamic filters to bat use of production landscapes","10.1016/j.biocon.2017.02.024","BIOLOGICAL CONSERVATION","forest","Australia","quadrat",25,NA,"obs",""
"Croft, Peter; Hunter, John T.; Reid, Nick","Forgotten fauna: Habitat attributes of long-unburnt open forests and woodlands dictate a rethink of fire management theory and practice","10.1016/j.foreco.2016.02.015","FOREST ECOLOGY AND MANAGEMENT","forest","Oceania","quadrat",400,NA,"obs",""
"Medina, Nagore G.; Bowker, Matthew A.; Hortal, Joaquin; Mazimpaka, Vicente; Lara, Francisco","Shifts in the importance of the species pool and environmental controls of epiphytic bryophyte richness across multiple scales","10.1007/s00442-018-4066-x","OECOLOGIA","forest","Europe","quadrat",0.04,NA,"obs",""
"McNickle, Gordon G.; Lamb, Eric G.; Lavender, Mike; Cahill, James F., Jr.; Schamp, Brandon S.; Siciliano, Steven D.; Condit, Richard; Hubbell, Stephen P.; Baltzer, Jennifer L.","Checkerboard score-area relationships reveal spatial scales of plant community structure","10.1111/oik.04620","OIKOS","grassland","North America","quadrat",0.1,NA,"obs",""
"McNickle, Gordon G.; Lamb, Eric G.; Lavender, Mike; Cahill, James F., Jr.; Schamp, Brandon S.; Siciliano, Steven D.; Condit, Richard; Hubbell, Stephen P.; Baltzer, Jennifer L.","Checkerboard score-area relationships reveal spatial scales of plant community structure","10.1111/oik.04620","OIKOS","grassland","North America","quadrat",2.25,NA,"obs",""
"Jahnke, Marlene; Pages, Jordi F.; Alcoverro, Teresa; Lavery, Paul S.; McMahon, Kathryn M.; Procaccini, Gabriele","Should we sync? Seascape-level genetic and ecological factors determine seagrass flowering patterns","10.1111/1365-2745.12470","JOURNAL OF ECOLOGY","grassland","Europe","quadrat",0.16,NA,"obs",""
"Davies, Andrew B.; Robertson, Mark P.; Levick, Shaun R.; Asner, Gregory P.; van Rensburg, Berndt J.; Parr, Catherine L.","Variable effects of termite mounds on African savanna grass communities across a rainfall gradient","10.1111/jvs.12200","JOURNAL OF VEGETATION SCIENCE","grassland","Africa","quadrat",1,NA,"obs",""
"Griffin-Nolan, Robert J.; Blumenthal, Dana M.; Collins, Scott L.; Farkas, Timothy E.; Hoffman, Ava M.; Mueller, Kevin E.; Ocheltree, Troy W.; Smith, Melinda D.; Whitney, Kenneth D.; Knapp, Alan K.","Shifts in plant functional composition following long-term drought in grasslands","10.1111/1365-2745.13252","JOURNAL OF ECOLOGY","grassland","North America","quadrat",1,NA,"exp",""
"Griffin-Nolan, Robert J.; Blumenthal, Dana M.; Collins, Scott L.; Farkas, Timothy E.; Hoffman, Ava M.; Mueller, Kevin E.; Ocheltree, Troy W.; Smith, Melinda D.; Whitney, Kenneth D.; Knapp, Alan K.","Shifts in plant functional composition following long-term drought in grasslands","10.1111/1365-2745.13252","JOURNAL OF ECOLOGY","grassland","North America","quadrat",0.1,NA,"exp",""
"Bennie, J; Hill, MO; Baxter, R; Huntley, B","Influence of slope and aspect on long-term vegetation change in British chalk grasslands","10.1111/j.1365-2745.2006.01104.x","JOURNAL OF ECOLOGY","grassland","Europe","quadrat",0.01,NA,"obs",""
"MacLeod, Molly; Reilly, James; Cariveau, Daniel P.; Genung, Mark A.; Roswell, Michael; Gibbs, Jason; Winfree, Rachael","How much do rare and crop-pollinating bees overlap in identity and flower preferences?","10.1111/1365-2664.13543","JOURNAL OF APPLIED ECOLOGY","grassland","North America","quadrat",NA,NA,"exp",""
"Antonovics, J; Hood, M; Partain, J","The ecology and genetics of a host shift: Microbotryum as a model system","10.1086/342143","AMERICAN NATURALIST","grassland","North America","quadrat",100,NA,"obs",""
"La Pierre, Kimberly J.; Smith, Melinda D.","Soil nutrient additions increase invertebrate herbivore abundances, but not herbivory, across three grassland systems","10.1007/s00442-015-3471-7","OECOLOGIA","grassland","North America","quadrat",0.1,NA,"obs",""
"Anderson, T. Michael; Griffith, Daniel M.; Grace, James B.; Lind, Eric M.; Adler, Peter B.; Biederman, Lori A.; Blumenthal, Dana M.; Daleo, Pedro; Firn, Jennifer; Hagenah, Nicole; Harpole, W. Stanley; MacDougall, Andrew S.; McCulley, Rebecca L.; Prober, Suzanne M.; Risch, Anita C.; Sankaran, Mahesh; Schuetz, Martin; Seabloom, Eric W.; Stevens, Carly J.; Sullivan, Lauren L.; Wragg, Peter D.; Borer, Elizabeth T.","Herbivory and eutrophication mediate grassland plant nutrient responses across a global climatic gradient","10.1002/ecy.2176","ECOLOGY","grassland","Africa","quadrat",1,NA,"exp",""
"Anderson, T. Michael; Griffith, Daniel M.; Grace, James B.; Lind, Eric M.; Adler, Peter B.; Biederman, Lori A.; Blumenthal, Dana M.; Daleo, Pedro; Firn, Jennifer; Hagenah, Nicole; Harpole, W. Stanley; MacDougall, Andrew S.; McCulley, Rebecca L.; Prober, Suzanne M.; Risch, Anita C.; Sankaran, Mahesh; Schuetz, Martin; Seabloom, Eric W.; Stevens, Carly J.; Sullivan, Lauren L.; Wragg, Peter D.; Borer, Elizabeth T.","Herbivory and eutrophication mediate grassland plant nutrient responses across a global climatic gradient","10.1002/ecy.2176","ECOLOGY","grassland","Asia","quadrat",1,NA,"exp",""
"Anderson, T. Michael; Griffith, Daniel M.; Grace, James B.; Lind, Eric M.; Adler, Peter B.; Biederman, Lori A.; Blumenthal, Dana M.; Daleo, Pedro; Firn, Jennifer; Hagenah, Nicole; Harpole, W. Stanley; MacDougall, Andrew S.; McCulley, Rebecca L.; Prober, Suzanne M.; Risch, Anita C.; Sankaran, Mahesh; Schuetz, Martin; Seabloom, Eric W.; Stevens, Carly J.; Sullivan, Lauren L.; Wragg, Peter D.; Borer, Elizabeth T.","Herbivory and eutrophication mediate grassland plant nutrient responses across a global climatic gradient","10.1002/ecy.2177","ECOLOGY","grassland","Oceania","quadrat",1,NA,"exp",""
"Anderson, T. Michael; Griffith, Daniel M.; Grace, James B.; Lind, Eric M.; Adler, Peter B.; Biederman, Lori A.; Blumenthal, Dana M.; Daleo, Pedro; Firn, Jennifer; Hagenah, Nicole; Harpole, W. Stanley; MacDougall, Andrew S.; McCulley, Rebecca L.; Prober, Suzanne M.; Risch, Anita C.; Sankaran, Mahesh; Schuetz, Martin; Seabloom, Eric W.; Stevens, Carly J.; Sullivan, Lauren L.; Wragg, Peter D.; Borer, Elizabeth T.","Herbivory and eutrophication mediate grassland plant nutrient responses across a global climatic gradient","10.1002/ecy.2178","ECOLOGY","grassland","Europe","quadrat",1,NA,"exp",""
"Anderson, T. Michael; Griffith, Daniel M.; Grace, James B.; Lind, Eric M.; Adler, Peter B.; Biederman, Lori A.; Blumenthal, Dana M.; Daleo, Pedro; Firn, Jennifer; Hagenah, Nicole; Harpole, W. Stanley; MacDougall, Andrew S.; McCulley, Rebecca L.; Prober, Suzanne M.; Risch, Anita C.; Sankaran, Mahesh; Schuetz, Martin; Seabloom, Eric W.; Stevens, Carly J.; Sullivan, Lauren L.; Wragg, Peter D.; Borer, Elizabeth T.","Herbivory and eutrophication mediate grassland plant nutrient responses across a global climatic gradient","10.1002/ecy.2179","ECOLOGY","grassland","North America","quadrat",1,NA,"exp",""
"Anderson, T. Michael; Griffith, Daniel M.; Grace, James B.; Lind, Eric M.; Adler, Peter B.; Biederman, Lori A.; Blumenthal, Dana M.; Daleo, Pedro; Firn, Jennifer; Hagenah, Nicole; Harpole, W. Stanley; MacDougall, Andrew S.; McCulley, Rebecca L.; Prober, Suzanne M.; Risch, Anita C.; Sankaran, Mahesh; Schuetz, Martin; Seabloom, Eric W.; Stevens, Carly J.; Sullivan, Lauren L.; Wragg, Peter D.; Borer, Elizabeth T.","Herbivory and eutrophication mediate grassland plant nutrient responses across a global climatic gradient","10.1002/ecy.2180","ECOLOGY","grassland","South America","quadrat",1,NA,"exp",""
"Cromsigt, Joris P. G. M.; Olff, Han","Dynamics of grazing lawn formation: an experimental test of the role of scale-dependent processes","10.1111/j.0030-1299.2008.16651.x","OIKOS","grassland","Africa","quadrat",4,NA,"exp",""
"Kendig, Amy E.; Borer, Elizabeth T.; Mitchell, Charles E.; Power, Alison G.; Seabloom, Eric W.","Characteristics and drivers of plant virus community spatial patterns in US west coast grasslands","10.1111/oik.04178","OIKOS","grassland","North America","quadrat",0.5,NA,"exp",""
"Christianen, Marjolijn J. A.; Smulders, Fee O. H.; Engel, M. Sabine; Nava, Mabel I.; Willis, Sue; Debrot, Adolphe O.; Palsboll, Per J.; Vonk, J. Arie; Becking, Leontine E.","Megaherbivores may impact expansion of invasive seagrass in the Caribbean","10.1111/1365-2745.13021","JOURNAL OF ECOLOGY","grassland","Central America","quadrat",1,NA,"obs",""
"Stevens, Carly J.; Thompson, Ken; Grime, J. Philip; Long, Christopher J.; Gowing, David J. G.","Contribution of acidification and eutrophication to declines in species richness of calcifuge grasslands along a gradient of atmospheric nitrogen deposition","10.1111/j.1365-2435.2009.01663.x","FUNCTIONAL ECOLOGY","grassland","Europe","quadrat",4,NA,"obs",""
"Gomez-Garcia, Daniel; de Juana, Angel Javier Aguirre; Sanchez, Rafael Jimenez; Magallon, Celia Manrique","Shrub encroachment in Mediterranean mountain grasslands: Rate and consequences on plant diversity and forage availability","10.1111/jvs.13174","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","quadrat",0.001,NA,"exp",""
"Renne, Ian J.; Tracy, Benjamin F.; Colonna, Ignacio A.","Shifts in grassland invasibility: Effects of soil resources, disturbance, composition, and invader size","10.1890/0012-9658(2006)87[2264:SIGIEO]2.0.CO;2","ECOLOGY","grassland","North America","quadrat",NA,NA,"exp",""
"Stanley, Dara A.; Stout, Jane C.","Quantifying the impacts of bioenergy crops on pollinating insect abundance and diversity: a field-scale evaluation reveals taxon-specific responses","10.1111/1365-2664.12060","JOURNAL OF APPLIED ECOLOGY","grassland","Europe","quadrat",1200,NA,"obs",""
"Stanley, Dara A.; Stout, Jane C.","Quantifying the impacts of bioenergy crops on pollinating insect abundance and diversity: a field-scale evaluation reveals taxon-specific responses","10.1111/1365-2664.12060","JOURNAL OF APPLIED ECOLOGY","grassland","Europe","quadrat",1,NA,"obs",""
"Auestad, Inger; Rydgren, Knut; Okland, Rune H.","Scale-dependence of vegetation-environment relationships in semi-natural grasslands","10.3170/2007-8-18344","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","quadrat",1,NA,"obs",""
"Curtis, Robin J.; Brereton, Tom M.; Dennis, Roger L. H.; Carbone, Chris; Isaac, Nick J. B.","Butterfly abundance is determined by food availability and is mediated by species traits","10.1111/1365-2664.12523","JOURNAL OF APPLIED ECOLOGY","grassland","Europe","quadrat",1,NA,"obs",""
"Okullo, Paul; Moe, Stein R.","Large herbivores maintain termite-caused differences in herbaceous species diversity patterns","10.1890/11-2011.1","ECOLOGY","grassland","Africa","quadrat",0.2,NA,"exp",""
"Okullo, Paul; Moe, Stein R.","Large herbivores maintain termite-caused differences in herbaceous species diversity patterns","10.1890/11-2011.1","ECOLOGY","grassland","Africa","quadrat",0.2,NA,"exp",""
