"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes"
"Wang, Xugao; Wiegand, Thorsten; Swenson, Nathan G.; Wolf, Amy T.; Howe, Robert W.; Hao, Zhanqing; Lin, Fei; Ye, Ji; Yuan, Zuoqiang","Mechanisms underlying local functional and phylogenetic beta diversity in two temperate forests","10.1890/14-0392.1","ECOLOGY","forest","Asia","plot",250000,NA,"sim",""
"Wang, Xugao; Wiegand, Thorsten; Swenson, Nathan G.; Wolf, Amy T.; Howe, Robert W.; Hao, Zhanqing; Lin, Fei; Ye, Ji; Yuan, Zuoqiang","Mechanisms underlying local functional and phylogenetic beta diversity in two temperate forests","10.1890/14-0392.1","ECOLOGY","forest","North America","plot",252000,NA,"sim",""
"Wang, Xugao; Wiegand, Thorsten; Swenson, Nathan G.; Wolf, Amy T.; Howe, Robert W.; Hao, Zhanqing; Lin, Fei; Ye, Ji; Yuan, Zuoqiang","Mechanisms underlying local functional and phylogenetic beta diversity in two temperate forests","10.1890/14-0392.1","ECOLOGY","forest","North America","neighbourhood",NA,0.02,"sim",""
"Wang, Xugao; Wiegand, Thorsten; Swenson, Nathan G.; Wolf, Amy T.; Howe, Robert W.; Hao, Zhanqing; Lin, Fei; Ye, Ji; Yuan, Zuoqiang","Mechanisms underlying local functional and phylogenetic beta diversity in two temperate forests","10.1890/14-0392.1","ECOLOGY","forest","North America","local",NA,0.001,"sim",""
"Wang, Xugao; Wiegand, Thorsten; Swenson, Nathan G.; Wolf, Amy T.; Howe, Robert W.; Hao, Zhanqing; Lin, Fei; Ye, Ji; Yuan, Zuoqiang","Mechanisms underlying local functional and phylogenetic beta diversity in two temperate forests","10.1890/14-0392.1","ECOLOGY","forest","North America","local",NA,0.25,"sim",""
"Fuller, Lauren; Fuentes-Montemayor, Elisa; Watts, Kevin; Macgregor, Nicholas A.; Bitenc, Katja; Park, Kirsty J.","Local-scale attributes determine the suitability of woodland creation sites for Diptera","10.1111/1365-2664.13035","JOURNAL OF APPLIED ECOLOGY","forest","Europe","local",5000,NA,"obs","also about flies"
"Fuller, Lauren; Fuentes-Montemayor, Elisa; Watts, Kevin; Macgregor, Nicholas A.; Bitenc, Katja; Park, Kirsty J.","Local-scale attributes determine the suitability of woodland creation sites for Diptera","10.1111/1365-2664.13035","JOURNAL OF APPLIED ECOLOGY","forest","Europe","local",320000,NA,"obs",""
"Belote, R. Travis; Sanders, Nathan J.; Jones, Robert H.","Disturbance alters local-regional richness relationships in Appalachian forests","10.1890/08-1908.1","ECOLOGY","forest","North America","local",576,NA,"exp",""
"Belote, R. Travis; Sanders, Nathan J.; Jones, Robert H.","Disturbance alters local-regional richness relationships in Appalachian forests","10.1890/08-1908.1","ECOLOGY","forest","North America","local",1,NA,"exp",""
"Belote, R. Travis; Sanders, Nathan J.; Jones, Robert H.","Disturbance alters local-regional richness relationships in Appalachian forests","10.1890/08-1908.1","ECOLOGY","forest","North America","regional",20000,NA,"exp",""
